Velocidade do vento (m/s);Potencia (MWh)
0,64;-7,1
0,75;-9,77
0,84;-7,02
0,85;-8,63
0,89;-8,35
0,9;-6,66
0,95;-7,01
1,01;-6,71
1,03;-7,74
1,03;-6,77
1,03;-6,71
1,04;-6,96
1,06;-9,02
1,1;-7,12
1,12;-7,57
1,14;-7,54
1,17;-8,26
1,18;-6,54
1,19;-7,39
1,2;-7,54
1,21;-6,49
1,22;-7,8
1,26;-6,68
1,27;-7,01
1,27;-6,81
1,27;-7
1,3;-6,67
1,32;-7,5
1,34;-9,01
1,34;-7,6
1,37;-9,26
1,38;-6,9
1,39;-7,67
1,39;-10,51
1,39;-6,61
1,46;-8,11
1,49;-6,48
1,51;-8,57
1,57;-8,05
1,59;-6,85
1,61;-7,08
1,65;-7,56
1,65;-8,68
1,66;-7,5
1,66;-5,95
1,69;-7,74
1,7;-7,7
1,7;-9,38
1,71;-10,41
1,72;-6,44
1,72;-7,84
1,73;-6,89
1,73;-6,66
1,74;-6,03
1,74;-7,35
1,75;-10,35
1,75;-7,42
1,76;-11,23
1,77;-10,09
1,77;-8,17
1,77;-6,44
1,77;-7,75
1,78;-9,19
1,79;-9,23
1,8;-10,34
1,81;-9,3
1,83;-10,73
1,83;-7,48
1,85;-9,64
1,86;-6,81
1,87;-7,11
1,88;-8,61
1,88;-8,49
1,89;-11,04
1,9;-8,28
1,9;-9,56
1,9;-8,84
1,91;-11,49
1,91;-6,8
1,91;-6,61
1,91;-8,29
1,92;-7,65
1,92;-9,71
1,93;-7,58
1,93;-5,98
1,94;-6,25
1,94;-10,62
1,95;-7,32
1,95;-8,98
1,95;-9,87
1,96;-9,04
1,96;-7,81
1,96;-8,27
1,96;-11,11
1,97;-9,36
1,97;-7,81
1,98;-9,54
1,98;-6,54
2;-6,59
2;-8,92
2,01;-11,61
2,01;-6,29
2,01;-10,28
2,02;-8,26
2,02;-10,13
2,02;-11
2,03;-10,16
2,03;-8,3
2,03;-10,49
2,04;-10,38
2,04;-10,62
2,04;-10,22
2,05;-6,98
2,06;-10,04
2,06;-6,93
2,06;-8,98
2,07;-7,61
2,07;-10,27
2,08;-6,95
2,08;-10,39
2,08;-9,9
2,08;-7,36
2,09;-9,87
2,09;-9,22
2,1;-7,78
2,1;-10,56
2,11;-6,27
2,11;-7,47
2,12;-8,59
2,12;-11
2,12;-6,71
2,12;-10,25
2,13;-7,35
2,13;-8,22
2,14;-10,84
2,14;-6,23
2,15;-10,53
2,15;-10,5
2,15;-8,3
2,16;-6,21
2,16;-10,03
2,16;-8,95
2,16;-10,05
2,16;-8,73
2,17;-7,5
2,17;-7,87
2,17;-7,02
2,17;-6,75
2,18;-10,53
2,18;9,79
2,18;-6,73
2,18;-9,94
2,19;-10,8
2,19;-9,72
2,19;-10,58
2,2;-8,01
2,2;-9,19
2,21;-10,21
2,21;-10,22
2,21;-10,04
2,21;-7,24
2,23;-5,91
2,23;-11,57
2,24;-10,64
2,25;-8,92
2,25;-10,62
2,25;-6,52
2,25;-7,18
2,25;-10,51
2,26;-7,64
2,26;-7,29
2,26;-10,55
2,26;-7,81
2,26;-10,39
2,27;-6,09
2,27;-6,65
2,27;-8,5
2,28;-6,15
2,28;-6,79
2,28;-10,03
2,28;-8,08
2,29;-6,15
2,29;-8,3
2,3;-7,44
2,31;-6,04
2,33;-1,32
2,34;-6,4
2,34;-8,65
2,34;-6,76
2,35;-8,11
2,35;-8,83
2,35;-6,02
2,35;-6,9
2,35;-8,99
2,36;-6,54
2,36;-8,29
2,36;-8,56
2,36;-9,9
2,37;-6,05
2,37;-10,87
2,37;-6,28
2,39;-8,18
2,4;-8,22
2,4;-9,21
2,41;-10,81
2,41;-9,49
2,41;-6,78
2,42;-3,68
2,42;-6,79
2,43;-9,84
2,43;-8,66
2,43;-9,69
2,43;-8,19
2,43;-9,22
2,43;-3,11
2,45;-2,86
2,46;-7,9
2,46;-7,4
2,46;-7,54
2,47;-6,81
2,47;-6,03
2,48;-8,78
2,48;-9,23
2,48;-8
2,49;-7,74
2,49;-1,99
2,49;-1,05
2,49;-6,72
2,5;-2,3
2,5;-6,61
2,5;0,77
2,51;-7,57
2,51;-5,22
2,51;-7,43
2,51;-8,91
2,52;-5,03
2,53;-6,15
2,53;-0,4
2,53;-6,14
2,53;-9,94
2,54;-10,23
2,55;-2,79
2,56;-5,81
2,56;-5,8
2,57;-6,34
2,57;-6,31
2,57;-8,1
2,58;-6,67
2,58;-7,38
2,58;-7,43
2,58;-6,01
2,58;-6,86
2,58;5,11
2,59;-5,03
2,59;10,3
2,6;-7,33
2,61;-7,46
2,64;-0,42
2,66;-0,4
2,66;-8,19
2,66;-6,37
2,66;15,02
2,67;-3,83
2,67;-6,15
2,67;-6,21
2,68;-3,63
2,68;-9,67
2,68;-1,37
2,7;-6,7
2,71;-6,03
2,71;2,87
2,71;-8,2
2,71;7,36
2,72;5,02
2,72;-5,03
2,73;-9,43
2,73;1,87
2,73;-7,25
2,73;-6,92
2,73;-8,39
2,73;-3,24
2,74;-6,16
2,74;-7,16
2,74;5,95
2,75;-6,75
2,75;-7,94
2,76;-7,63
2,76;-10,59
2,77;-4,6
2,78;8,52
2,78;-12,26
2,78;-8,27
2,78;-7,03
2,79;-9,69
2,79;-6,76
2,8;6,81
2,81;2,33
2,81;-1,75
2,83;26,48
2,84;-7,05
2,85;7,05
2,85;0,78
2,85;-5,81
2,85;3,59
2,85;-4,57
2,85;33,42
2,85;4,6
2,86;-9,36
2,86;-6,91
2,86;1,91
2,87;-7,58
2,88;-3,27
2,88;-2,01
2,88;-0,76
2,89;-6,68
2,89;-1,99
2,9;10,37
2,9;16,63
2,9;12,31
2,9;4,7
2,9;2,39
2,91;-10,76
2,91;-8,37
2,92;9,35
2,92;14,26
2,92;12,41
2,92;-2,85
2,92;4,99
2,92;0,93
2,93;8,69
2,93;11,56
2,93;13,84
2,94;13,02
2,94;12,04
2,94;6,14
2,94;21,39
2,94;-3,88
2,95;13,85
2,95;-10,43
2,95;-0,22
2,96;-9,9
2,96;10,87
2,96;23,73
2,96;-1,6
2,98;3,95
2,98;10,59
2,99;22,92
3;8,85
3;-2,5
3,01;12,76
3,01;13,94
3,02;25,62
3,02;-10,72
3,02;13,92
3,02;26,07
3,04;24,59
3,04;16,38
3,04;21,82
3,04;15,79
3,04;19,45
3,07;29,19
3,07;9,82
3,07;28,59
3,08;30,93
3,09;20,42
3,09;20,51
3,09;10,2
3,09;15,82
3,1;-6,68
3,1;20,64
3,1;22,02
3,11;14,33
3,11;-9,7
3,11;-7,64
3,12;30,7
3,12;22,61
3,12;0,34
3,13;-11,98
3,13;18,95
3,13;3,68
3,13;22,93
3,14;26,58
3,15;-6,71
3,16;37,05
3,16;25,2
3,17;11,51
3,17;32,38
3,17;-0,19
3,18;11,67
3,18;27,51
3,18;30,79
3,19;29,05
3,19;22,68
3,19;-7,95
3,2;8,13
3,2;16,08
3,22;19,83
3,22;30,08
3,22;29,35
3,22;38,72
3,22;26,89
3,22;27,61
3,23;-7,34
3,23;16,21
3,23;23,65
3,24;32,07
3,24;29,92
3,24;31,64
3,24;16,26
3,24;19,65
3,25;16,97
3,26;28,44
3,26;23,35
3,27;36,56
3,27;5,98
3,27;15,74
3,29;34,76
3,3;39,79
3,3;37,91
